"spp" "k1" "k2" "safety" "kobe.n" "yield" "yieldAav"
"brill" 0.0589637332595885 0.928751704283059 0.626559039163329 0.125 0.976800667580707 0.887226729112108
"brill" 0.739833746105433 0.874571920605376 0.698847261887191 0.475 0.983267214586585 0.820744807046093
"brill" 0.0106572632212192 0.822780838236213 0.595527198742872 0 0.932026501204571 0.93109971442317
"brill" 0.895956335123628 0.454353229841217 0.610235530280471 0.575 0.818063191108507 0.937000105237398
"brill" 0.209103288827464 0.793359609786421 0.576251613342713 0.025 0.862182090035159 0.932067087630124
"brill" 0.876560550648719 0.117960028583184 0.791588393514606 0.925 0.68430221549456 0.972138534133061
"brill" 0.270820822333917 0.0181050959508866 0.778916227981199 0.925 0.769568084246273 0.987550608791103
"brill" 0.240487444913015 0.730250463122502 0.648771605038539 0.2 0.978517082756753 0.916842803265533
"brill" 0.758846366312355 0.498239961685613 0.642837745481622 0.675 0.904921862968444 0.930577257949214
"brill" 0.0577642887365073 0.0356602100655437 0.744703176842412 0.9 0.778907789070907 0.992968087243912
"brill" 0.450906384037808 0.125137082766742 0.812611999067902 0.75 0.901914113562893 0.972227534338076
"brill" 0.697893489617854 0.808908847160637 0.579948687602109 0.75 0.938842070183607 0.866489631362983
"brill" 0.893318856600672 0.923269994556904 0.651141984500417 0.575 0.894075217780585 0.862679747903544
"brill" 0.143453675089404 0.465955078601837 0.638221680460538 0.225 0.92160061980584 0.948720978002731
"brill" 0.878643351374194 0.0852379717398435 0.79585930072245 0.8 0.781867025096304 0.966672437239928
"brill" 0.105280198156834 0.901439842535183 0.531911253040934 0.025 0.953604402145348 0.887497702499435
"brill" 0.518765056505799 0.153997261542827 0.589492688231894 0.525 0.828500636353208 0.96931028431415
"brill" 0.135579804657027 0.40710120042786 0.590847051876185 0.15 0.899864081633933 0.967007779207593
"brill" 0.801794218365103 0.616606706054881 0.800570764749238 0.825 0.991215706508906 0.937063890088215
"brill" 0.801857365993783 0.422756503336132 0.643773183973826 0.725 0.806529620192954 0.922351959292738
"brill" 0.66737555526197 0.564856390003115 0.564575590371482 0.7 0.774034096286127 0.912610634234272
"brill" 0.959161536302418 0.883663282496855 0.619757357687624 0.475 0.841853643216112 0.894759094801296
"brill" 0.699445138452575 0.845578650943935 0.70397452885731 0.475 1.02651266104319 0.868808226292228
"brill" 0.0614853610750288 0.767798837274313 0.559189107489607 0.1 0.949232124807694 0.900353417517502
"brill" 0.3997917836532 0.545316737378016 0.576787468054993 0.625 0.974701798487872 0.936171395567354
"brill" 0.197605749359354 0.885749406414106 0.588472135415137 0.175 1.0245095270693 0.866578991009562
