"spp","k1","k2","safety","kobe","yield","yieldAav"
"brill",1.10975061915815,1.31185788090806,0.971412516790357,0.76,0.313948579343986,0.0730963428724697
"brill",0.0159858948318288,1.23417125735432,0.000596743938497961,0,0.000289435855451199,0
"brill",1.34393450268544,0.681529844761826,0.723009971433088,0.68,5.91832079032515e-06,0
"brill",0.313654933241196,1.19003941467963,0.000684913056231758,0.08,0.00919531160834011,0
"brill",1.31484082597308,0.176940042874776,0.943796808562491,0.76,0.529495892690191,0.0299458225175594
"brill",0.406231233500876,0.0271576439263299,0.939378654215107,0.76,0.709139908544412,0.0104099042046124
"brill",0.360731167369522,1.09537569468375,0.00065318327565237,0,0.0015553806265268,0
"brill",1.13826954946853,0.747359942528419,0.98671071067186,0.76,0.0572775366075681,0
"brill",0.0866464331047609,0.0534903150983155,0.925153390181719,0.76,0.804253700213462,0.00182019388489855
"brill",0.676359576056711,0.187705624150112,0.830682119263677,0.72,0.455261174286138,0.0288121743235801
"brill",1.04684023442678,1.21336327074096,0.989111946295211,0.76,0.0242010749329147,0
"brill",1.33997828490101,1.38490499183536,0.979060524498493,0.76,0.0167789195407144,0
"brill",0.215180512634106,0.698932617902756,0.0657929713278717,0.56,0.943198571923906,0.101606959118547
"brill",1.31796502706129,0.127856957609765,0.923729129062345,0.76,0.769729436477385,0.0339749228970392
"brill",0.15792029723525,1.35215976380277,0.000921304245873911,0,0.000497269808631199,0
"brill",0.778147584758699,0.23099589231424,0.904968983880558,0.76,0.754075056675784,0.0182623589000803
"brill",0.203369706985541,0.61065180064179,0.000727010207956265,0.08,0.00135899564809292,0
"brill",1.20269132754765,0.924910059082322,0.971624005323758,0.76,0.206410457380464,0.0473230322467384
"brill",1.20278604899067,0.634134755004197,0.994823619806776,0.76,0.0324314777383445,0
"brill",1.00106333289295,0.847284585004672,0.98954624920816,0.76,0.0130105456597933,0
"brill",1.43874230445363,1.32549492374528,0.0619960526926378,0.52,1.81783224295848e-05,0
"brill",1.04916770767886,1.2683679764159,0.962395608060702,0.76,0.597737651887462,0.0665246427147325
"brill",0.0922280416125432,1.15169825591147,0.145198288750383,0.64,0.102236758781536,0.0403418810377835
"brill",0.5996876754798,0.817975106067024,0.00874179153036885,0.48,0.00370896111328501,0
"brill",0.296408624039032,1.32862410962116,0.881872644350655,0.76,0.0839612184828869,0.0144506339176684
"brill",0.431689745862968,0.742606737068854,0.00068731878824147,0,0.000875905971218987,0
"brill",0.464470108388923,1.02451367327012,0.0186707750371762,0.08,0.411174817949241,0.221602499028257
"brill",0.909190725535154,0.960185440373607,0.983745212560719,0.76,0.0881932849470088,0.00588262836068704
"brill",1.3442753412528,1.12398358178325,0.89894463003944,0.76,2.49800815741031e-05,0
"brill",1.01347663323395,0.0627974123926833,0.944172236853895,0.76,0.690395198696458,0.0224138663834487
"brill",1.07093457283918,1.06425462837797,0.107567988990329,0.6,1.86769243029422e-05,0
"brill",1.13594855892006,1.20200257538818,0.909507189709177,0.76,0.0342268959528984,0
"brill",0.547775073442608,0.838971236371435,0.443238373676533,0.68,0.00695126640319431,0
"brill",0.474658036837354,0.60513837786857,0.000633043880648138,0,0.00341084723448424,0
"brill",1.1485734579619,1.12778627802618,0.988525423890702,0.76,0.00984856440253782,0
"brill",0.502490400220267,1.07641551329289,0.827193756951802,0.68,0.989492574949115,0.13254074798673
"brill",0.534994073328562,0.604460476431996,0.000700083994530596,0,0.379566071331874,0.101258526338843
"brill",1.20934704202227,0.974435996264219,0.996085278364732,0.76,0.0869168065097533,0.00368176326194924
"brill",0.870360757922754,0.0307227589655668,0.917185080809075,0.76,0.474076149931594,0.0351500713246207
"brill",0.96604206925258,0.252414816641249,0.984739525051162,0.76,0.00559414379091396,0
"brill",0.957174735493027,0.941607784596272,0.990058300231088,0.76,2.61116374928678e-05,0
"brill",1.41503576666582,0.35108212614432,0.892303212475642,0.76,0.625710249198668,0.0787935625784581
"brill",1.34430329944007,0.166734958766028,0.922852974025821,0.76,0.623090585763566,0.0150627238790017
